iso3,year_id,indicator_code,value,obs_status,loaded_at
BLZ,2018,NY.GDP.PCAP.CD,6011.990369,,2026-04-20 18:33:21
BLZ,2017,NY.GDP.PCAP.CD,6071.854518,,2026-04-20 18:33:21
BLZ,2016,NY.GDP.PCAP.CD,6140.867139,,2026-04-20 18:33:21
BLZ,2015,NY.GDP.PCAP.CD,6154.622642,,2026-04-20 18:33:21
BLZ,2014,NY.GDP.PCAP.CD,6128.120531,,2026-04-20 18:33:21
BEN,2023,NY.GDP.PCAP.CD,1394.177847,,2026-04-20 18:33:21
BEN,2022,NY.GDP.PCAP.CD,1266.42711,,2026-04-20 18:33:21
BEN,2021,NY.GDP.PCAP.CD,1318.651581,,2026-04-20 18:33:21
BEN,2020,NY.GDP.PCAP.CD,1200.194266,,2026-04-20 18:33:21
BEN,2019,NY.GDP.PCAP.CD,1130.821353,,2026-04-20 18:33:21
BEN,2018,NY.GDP.PCAP.CD,1151.74097,,2026-04-20 18:33:21
BEN,2017,NY.GDP.PCAP.CD,1054.974081,,2026-04-20 18:33:21
BEN,2016,NY.GDP.PCAP.CD,1010.533896,,2026-04-20 18:33:21
BEN,2015,NY.GDP.PCAP.CD,1002.418869,,2026-04-20 18:33:21
BEN,2014,NY.GDP.PCAP.CD,1204.399187,,2026-04-20 18:33:21
BMU,2023,NY.GDP.PCAP.CD,132604.439086,,2026-04-20 18:33:21
BMU,2022,NY.GDP.PCAP.CD,121613.939984,,2026-04-20 18:33:21
BMU,2021,NY.GDP.PCAP.CD,112765.081673,,2026-04-20 18:33:21
BMU,2020,NY.GDP.PCAP.CD,106976.54624,,2026-04-20 18:33:21
BMU,2019,NY.GDP.PCAP.CD,115798.040776,,2026-04-20 18:33:21
BMU,2018,NY.GDP.PCAP.CD,113204.822108,,2026-04-20 18:33:21
BMU,2017,NY.GDP.PCAP.CD,112339.425587,,2026-04-20 18:33:21
BMU,2016,NY.GDP.PCAP.CD,108747.356144,,2026-04-20 18:33:21
BMU,2015,NY.GDP.PCAP.CD,104855.366822,,2026-04-20 18:33:21
BMU,2014,NY.GDP.PCAP.CD,100961.576603,,2026-04-20 18:33:21
BTN,2023,NY.GDP.PCAP.CD,3831.325355,,2026-04-20 18:33:21
BTN,2022,NY.GDP.PCAP.CD,3711.32768,,2026-04-20 18:33:21
BTN,2021,NY.GDP.PCAP.CD,3570.61258,,2026-04-20 18:33:21
BTN,2020,NY.GDP.PCAP.CD,3191.66907,,2026-04-20 18:33:21
BTN,2019,NY.GDP.PCAP.CD,3576.879871,,2026-04-20 18:33:21
BTN,2018,NY.GDP.PCAP.CD,3400.204172,,2026-04-20 18:33:21
BTN,2017,NY.GDP.PCAP.CD,3435.288047,,2026-04-20 18:33:21
BTN,2016,NY.GDP.PCAP.CD,3152.309051,,2026-04-20 18:33:21
BTN,2015,NY.GDP.PCAP.CD,2954.040819,,2026-04-20 18:33:21
BTN,2014,NY.GDP.PCAP.CD,2849.499986,,2026-04-20 18:33:21
BOL,2023,NY.GDP.PCAP.CD,4274.708205,,2026-04-20 18:33:21
BOL,2022,NY.GDP.PCAP.CD,4219.461137,,2026-04-20 18:33:21
BOL,2021,NY.GDP.PCAP.CD,4010.760537,,2026-04-20 18:33:21
BOL,2020,NY.GDP.PCAP.CD,3580.967618,,2026-04-20 18:33:21
BOL,2019,NY.GDP.PCAP.CD,4203.154929,,2026-04-20 18:33:21
BOL,2018,NY.GDP.PCAP.CD,4206.855294,,2026-04-20 18:33:21
BOL,2017,NY.GDP.PCAP.CD,4048.401197,,2026-04-20 18:33:21
BOL,2016,NY.GDP.PCAP.CD,3035.873477,,2026-04-20 18:33:21
BOL,2015,NY.GDP.PCAP.CD,2996.012898,,2026-04-20 18:33:21
BOL,2014,NY.GDP.PCAP.CD,3041.435032,,2026-04-20 18:33:21
BIH,2023,NY.GDP.PCAP.CD,8663.023265,,2026-04-20 18:33:21
BIH,2022,NY.GDP.PCAP.CD,7655.59421,,2026-04-20 18:33:21
BIH,2021,NY.GDP.PCAP.CD,7295.343787,,2026-04-20 18:33:21
BIH,2020,NY.GDP.PCAP.CD,6130.31188,,2026-04-20 18:33:21
BIH,2019,NY.GDP.PCAP.CD,6122.375414,,2026-04-20 18:33:21
